generator_model,judge_model,task_id,manipulated_dimension,true_value,recovered_value,correct,confidence,rep
anthropic,openai,dependency_order,concurrency,v0,v0,True,0.6,1
anthropic,openai,dependency_order,concurrency,v0,v0,True,0.6,2
anthropic,openai,dependency_order,concurrency,v0,v0,True,0.6,3
anthropic,openai,dependency_order,concurrency,v0,v0,True,0.6,4
anthropic,openai,dependency_order,concurrency,v0,v0,True,0.6,5
anthropic,openai,dependency_order,concurrency,v1,v0,False,0.6,1
anthropic,openai,dependency_order,concurrency,v1,v0,False,0.6,2
anthropic,openai,dependency_order,concurrency,v1,v0,False,0.6,3
anthropic,openai,dependency_order,concurrency,v1,v0,False,0.6,4
anthropic,openai,dependency_order,concurrency,v1,v0,False,0.6,5
anthropic,openai,dependency_order,security,v0,v1,False,0.9,1
anthropic,openai,dependency_order,security,v0,v0,True,0.65,2
anthropic,openai,dependency_order,security,v0,v1,False,0.8,3
anthropic,openai,dependency_order,security,v0,v1,False,0.9,4
anthropic,openai,dependency_order,security,v0,v0,True,0.65,5
anthropic,openai,dependency_order,security,v1,v1,True,0.9,1
anthropic,openai,dependency_order,security,v1,v1,True,0.9,2
anthropic,openai,dependency_order,security,v1,v1,True,0.9,3
anthropic,openai,dependency_order,security,v1,v1,True,0.9,4
anthropic,openai,dependency_order,security,v1,v1,True,0.9,5
anthropic,openai,lru_cache,concurrency,v0,v0,True,0.5,1
anthropic,openai,lru_cache,concurrency,v0,v0,True,0.6,2
anthropic,openai,lru_cache,concurrency,v0,v0,True,0.5,3
anthropic,openai,lru_cache,concurrency,v0,v0,True,0.6,4
anthropic,openai,lru_cache,concurrency,v0,v0,True,0.5,5
anthropic,openai,lru_cache,concurrency,v1,v1,True,0.93,1
anthropic,openai,lru_cache,concurrency,v1,v1,True,0.93,2
anthropic,openai,lru_cache,concurrency,v1,v1,True,0.92,3
anthropic,openai,lru_cache,concurrency,v1,v1,True,0.93,4
anthropic,openai,lru_cache,concurrency,v1,v1,True,0.93,5
anthropic,openai,lru_cache,security,v0,v0,True,0.6,1
anthropic,openai,lru_cache,security,v0,v0,True,0.6,2
anthropic,openai,lru_cache,security,v0,v0,True,0.6,3
anthropic,openai,lru_cache,security,v0,v0,True,0.6,4
anthropic,openai,lru_cache,security,v0,v1,False,0.85,5
anthropic,openai,lru_cache,security,v1,v1,True,0.9,1
anthropic,openai,lru_cache,security,v1,v1,True,0.9,2
anthropic,openai,lru_cache,security,v1,v1,True,0.9,3
anthropic,openai,lru_cache,security,v1,v1,True,0.9,4
anthropic,openai,lru_cache,security,v1,v1,True,0.9,5
anthropic,openai,merge_intervals,concurrency,v0,v0,True,0.5,1
anthropic,openai,merge_intervals,concurrency,v0,v0,True,0.5,2
anthropic,openai,merge_intervals,concurrency,v0,v0,True,0.5,3
anthropic,openai,merge_intervals,concurrency,v0,v0,True,0.6,4
anthropic,openai,merge_intervals,concurrency,v0,v0,True,0.5,5
anthropic,openai,merge_intervals,concurrency,v1,v0,False,0.5,1
anthropic,openai,merge_intervals,concurrency,v1,v0,False,0.5,2
anthropic,openai,merge_intervals,concurrency,v1,v0,False,0.5,3
anthropic,openai,merge_intervals,concurrency,v1,v0,False,0.5,4
anthropic,openai,merge_intervals,concurrency,v1,v0,False,0.5,5
anthropic,openai,merge_intervals,security,v0,v0,True,0.6,1
anthropic,openai,merge_intervals,security,v0,v0,True,0.65,2
anthropic,openai,merge_intervals,security,v0,v0,True,0.6,3
anthropic,openai,merge_intervals,security,v0,v0,True,0.6,4
anthropic,openai,merge_intervals,security,v0,v0,True,0.6,5
anthropic,openai,merge_intervals,security,v1,v1,True,0.9,1
anthropic,openai,merge_intervals,security,v1,v1,True,0.9,2
anthropic,openai,merge_intervals,security,v1,v1,True,0.85,3
anthropic,openai,merge_intervals,security,v1,v1,True,0.9,4
anthropic,openai,merge_intervals,security,v1,v1,True,0.9,5
anthropic,openai,rate_limiter,concurrency,v0,v0,True,0.6,1
anthropic,openai,rate_limiter,concurrency,v0,v0,True,0.6,2
anthropic,openai,rate_limiter,concurrency,v0,v0,True,0.6,3
anthropic,openai,rate_limiter,concurrency,v0,v0,True,0.75,4
anthropic,openai,rate_limiter,concurrency,v0,v0,True,0.5,5
anthropic,openai,rate_limiter,concurrency,v1,v1,True,0.78,1
anthropic,openai,rate_limiter,concurrency,v1,v1,True,0.78,2
anthropic,openai,rate_limiter,concurrency,v1,v1,True,0.92,3
anthropic,openai,rate_limiter,concurrency,v1,v1,True,0.89,4
anthropic,openai,rate_limiter,concurrency,v1,v1,True,0.89,5
anthropic,openai,rate_limiter,security,v0,v0,True,0.65,1
anthropic,openai,rate_limiter,security,v0,v0,True,0.6,2
anthropic,openai,rate_limiter,security,v0,v0,True,0.65,3
anthropic,openai,rate_limiter,security,v0,v0,True,0.6,4
anthropic,openai,rate_limiter,security,v0,v0,True,0.65,5
anthropic,openai,rate_limiter,security,v1,v1,True,0.8,1
anthropic,openai,rate_limiter,security,v1,v1,True,0.8,2
anthropic,openai,rate_limiter,security,v1,v1,True,0.9,3
anthropic,openai,rate_limiter,security,v1,v1,True,0.8,4
anthropic,openai,rate_limiter,security,v1,v1,True,0.9,5
anthropic,openai,sanitize_filename,concurrency,v0,v0,True,0.5,1
anthropic,openai,sanitize_filename,concurrency,v0,v0,True,0.5,2
anthropic,openai,sanitize_filename,concurrency,v0,v0,True,0.5,3
