family,dimension,strip_level,accuracy,n,expected_behavior,status
F1,F1.1_integration,raw,1.0000,2,correct_all_levels,pass
F1,F1.1_integration,no_comments,1.0000,2,correct_all_levels,pass
F1,F1.1_integration,renamed,1.0000,2,correct_all_levels,pass
F1,F1.1_integration,no_imports,1.0000,2,correct_all_levels,pass
F1,F1.1_integration,format_normalized,1.0000,2,correct_all_levels,pass
F2,F2.1_lock_control,raw,1.0000,2,correct_positive_control,pass
F2,F2.1_lock_control,no_comments,1.0000,2,correct_positive_control,pass
F2,F2.1_lock_control,renamed,1.0000,2,collapse_if_lock_marker_stripping_exists,not_tested
F2,F2.1_lock_control,no_imports,1.0000,2,collapse_if_lock_marker_stripping_exists,not_tested
F2,F2.1_lock_control,format_normalized,1.0000,2,collapse_if_lock_marker_stripping_exists,not_tested
F3,F3.2_shuffled_label,n/a,0.5000,10,chance_no_above_chance_signal,pass
